raw_score,mcq_score,ans_score,year,scaled_score,mcqs,ans,questions,mcq_prop,ans_prop,prop
23,20,3,2008,510,42,12,54,0.476190476,0.25,0.425925926
24,19,5,2008,520,42,12,54,0.452380952,0.416666667,0.444444444
22,18,4,2008,510,42,12,54,0.428571429,0.333333333,0.407407407
27,23,4,2008,550,42,12,54,0.547619048,0.333333333,0.5
32,24,8,2008,580,42,12,54,0.571428571,0.666666667,0.592592593
24,21,3,2008,520,42,12,54,0.5,0.25,0.444444444
25,20,5,2008,530,42,12,54,0.476190476,0.416666667,0.462962963
22,19,3,2008,510,42,12,54,0.452380952,0.25,0.407407407
27,22,5,2008,550,42,12,54,0.523809524,0.416666667,0.5
23,19,4,2008,510,42,12,54,0.452380952,0.333333333,0.425925926
30,25,5,2008,570,42,12,54,0.595238095,0.416666667,0.555555556
22,18,4,2008,510,42,12,54,0.428571429,0.333333333,0.407407407
26,18,8,2008,540,42,12,54,0.428571429,0.666666667,0.481481481
29,26,3,2008,570,42,12,54,0.619047619,0.25,0.537037037
24,20,4,2008,520,42,12,54,0.476190476,0.333333333,0.444444444
23,17,6,2008,510,42,12,54,0.404761905,0.5,0.425925926
26,22,4,2008,540,42,12,54,0.523809524,0.333333333,0.481481481
22,20,2,2008,510,42,12,54,0.476190476,0.166666667,0.407407407
28,22,6,2008,560,42,12,54,0.523809524,0.5,0.518518519
28,23,5,2008,560,42,12,54,0.547619048,0.416666667,0.518518519
26,21,5,2008,540,42,12,54,0.5,0.416666667,0.481481481
26,20,6,2008,540,42,12,54,0.476190476,0.5,0.481481481
30,27,3,2008,570,42,12,54,0.642857143,0.25,0.555555556
27,24,3,2008,550,42,12,54,0.571428571,0.25,0.5
28,23,5,2008,560,42,12,54,0.547619048,0.416666667,0.518518519
21,16,5,2008,510,42,12,54,0.380952381,0.416666667,0.388888889
28,21,7,2008,560,42,12,54,0.5,0.583333333,0.518518519
26,21,5,2008,540,42,12,54,0.5,0.416666667,0.481481481
27,19,8,2008,550,42,12,54,0.452380952,0.666666667,0.5
19,14,5,2008,490,42,12,54,0.333333333,0.416666667,0.351851852
21,19,2,2008,510,42,12,54,0.452380952,0.166666667,0.388888889
29,25,4,2008,570,42,12,54,0.595238095,0.333333333,0.537037037
22,19,3,2008,510,42,12,54,0.452380952,0.25,0.407407407
25,23,2,2008,530,42,12,54,0.547619048,0.166666667,0.462962963
22,19,3,2008,510,42,12,54,0.452380952,0.25,0.407407407
19,17,2,2008,490,42,12,54,0.404761905,0.166666667,0.351851852
26,21,5,2008,540,42,12,54,0.5,0.416666667,0.481481481
22,18,4,2008,510,42,12,54,0.428571429,0.333333333,0.407407407
23,20,3,2008,510,42,12,54,0.476190476,0.25,0.425925926
23,19,4,2008,510,42,12,54,0.452380952,0.333333333,0.425925926
23,19,4,2008,510,42,12,54,0.452380952,0.333333333,0.425925926
26,19,7,2008,540,42,12,54,0.452380952,0.583333333,0.481481481
28,23,5,2008,560,42,12,54,0.547619048,0.416666667,0.518518519
25,21,4,2008,530,42,12,54,0.5,0.333333333,0.462962963
29,23,6,2008,570,42,12,54,0.547619048,0.5,0.537037037
31,26,5,2008,570,42,12,54,0.619047619,0.416666667,0.574074074
23,19,4,2008,510,42,12,54,0.452380952,0.333333333,0.425925926
29,23,6,2008,570,42,12,54,0.547619048,0.5,0.537037037
27,22,5,2008,550,42,12,54,0.523809524,0.416666667,0.5
28,22,6,2008,560,42,12,54,0.523809524,0.5,0.518518519
27,19,8,2009,550,42,12,54,0.452380952,0.666666667,0.5
30,25,5,2009,570,42,12,54,0.595238095,0.416666667,0.555555556
26,20,6,2009,540,42,12,54,0.476190476,0.5,0.481481481
25,19,6,2009,530,42,12,54,0.452380952,0.5,0.462962963
25,20,5,2009,530,42,12,54,0.476190476,0.416666667,0.462962963
28,20,8,2009,560,42,12,54,0.476190476,0.666666667,0.518518519
25,18,7,2009,530,42,12,54,0.428571429,0.583333333,0.462962963
25,18,7,2009,530,42,12,54,0.428571429,0.583333333,0.462962963
25,20,5,2009,530,42,12,54,0.476190476,0.416666667,0.462962963
23,17,6,2009,510,42,12,54,0.404761905,0.5,0.425925926
27,20,7,2009,550,42,12,54,0.476190476,0.583333333,0.5
21,15,6,2009,510,42,12,54,0.357142857,0.5,0.388888889
26,20,6,2009,540,42,12,54,0.476190476,0.5,0.481481481
32,24,8,2009,580,42,12,54,0.571428571,0.666666667,0.592592593
30,23,7,2009,570,42,12,54,0.547619048,0.583333333,0.555555556
22,16,6,2009,510,42,12,54,0.380952381,0.5,0.407407407
25,20,5,2009,530,42,12,54,0.476190476,0.416666667,0.462962963
25,17,8,2009,530,42,12,54,0.404761905,0.666666667,0.462962963
24,19,5,2009,520,42,12,54,0.452380952,0.416666667,0.444444444
28,22,6,2009,560,42,12,54,0.523809524,0.5,0.518518519
23,17,6,2009,510,42,12,54,0.404761905,0.5,0.425925926
25,20,5,2009,530,42,12,54,0.476190476,0.416666667,0.462962963
29,23,6,2009,570,42,12,54,0.547619048,0.5,0.537037037
22,16,6,2009,510,42,12,54,0.380952381,0.5,0.407407407
28,21,7,2009,560,42,12,54,0.5,0.583333333,0.518518519
29,21,8,2009,570,42,12,54,0.5,0.666666667,0.537037037
26,21,5,2009,540,42,12,54,0.5,0.416666667,0.481481481
24,19,5,2009,520,42,12,54,0.452380952,0.416666667,0.444444444
25,17,8,2009,530,42,12,54,0.404761905,0.666666667,0.462962963
27,20,7,2009,550,42,12,54,0.476190476,0.583333333,0.5
26,19,7,2009,540,42,12,54,0.452380952,0.583333333,0.481481481
20,15,5,2009,500,42,12,54,0.357142857,0.416666667,0.37037037
25,18,7,2009,530,42,12,54,0.428571429,0.583333333,0.462962963
27,22,5,2009,550,42,12,54,0.523809524,0.416666667,0.5
25,19,6,2009,530,42,12,54,0.452380952,0.5,0.462962963
24,17,7,2009,520,42,12,54,0.404761905,0.583333333,0.444444444
27,19,8,2009,550,42,12,54,0.452380952,0.666666667,0.5
29,21,8,2009,570,42,12,54,0.5,0.666666667,0.537037037
25,18,7,2009,530,42,12,54,0.428571429,0.583333333,0.462962963
25,20,5,2009,530,42,12,54,0.476190476,0.416666667,0.462962963
24,18,6,2009,520,42,12,54,0.428571429,0.5,0.444444444
24,18,6,2009,520,42,12,54,0.428571429,0.5,0.444444444
28,20,8,2009,560,42,12,54,0.476190476,0.666666667,0.518518519
27,20,7,2009,550,42,12,54,0.476190476,0.583333333,0.5
24,19,5,2009,520,42,12,54,0.452380952,0.416666667,0.444444444
21,17,4,2009,510,42,12,54,0.404761905,0.333333333,0.388888889
25,19,6,2009,530,42,12,54,0.452380952,0.5,0.462962963
23,19,4,2009,510,42,12,54,0.452380952,0.333333333,0.425925926
21,15,6,2009,510,42,12,54,0.357142857,0.5,0.388888889
30,23,7,2009,570,42,12,54,0.547619048,0.583333333,0.555555556
29,24,5,2010,570,42,12,54,0.571428571,0.416666667,0.537037037
29,21,8,2010,570,42,12,54,0.5,0.666666667,0.537037037
31,24,7,2010,570,42,12,54,0.571428571,0.583333333,0.574074074
24,18,6,2010,520,42,12,54,0.428571429,0.5,0.444444444
28,20,8,2010,560,42,12,54,0.476190476,0.666666667,0.518518519
32,25,7,2010,580,42,12,54,0.595238095,0.583333333,0.592592593
29,23,6,2010,570,42,12,54,0.547619048,0.5,0.537037037
33,25,8,2010,590,42,12,54,0.595238095,0.666666667,0.611111111
32,24,8,2010,580,42,12,54,0.571428571,0.666666667,0.592592593
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
29,21,8,2010,570,42,12,54,0.5,0.666666667,0.537037037
31,23,8,2010,570,42,12,54,0.547619048,0.666666667,0.574074074
28,20,8,2010,560,42,12,54,0.476190476,0.666666667,0.518518519
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
30,22,8,2010,570,42,12,54,0.523809524,0.666666667,0.555555556
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
28,20,8,2010,560,42,12,54,0.476190476,0.666666667,0.518518519
26,19,7,2010,540,42,12,54,0.452380952,0.583333333,0.481481481
31,25,6,2010,570,42,12,54,0.595238095,0.5,0.574074074
31,24,7,2010,570,42,12,54,0.571428571,0.583333333,0.574074074
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
29,22,7,2010,570,42,12,54,0.523809524,0.583333333,0.537037037
29,23,6,2010,570,42,12,54,0.547619048,0.5,0.537037037
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
32,25,7,2010,580,42,12,54,0.595238095,0.583333333,0.592592593
29,20,9,2010,570,42,12,54,0.476190476,0.75,0.537037037
29,21,8,2010,570,42,12,54,0.5,0.666666667,0.537037037
29,21,8,2010,570,42,12,54,0.5,0.666666667,0.537037037
30,24,6,2010,570,42,12,54,0.571428571,0.5,0.555555556
28,21,7,2010,560,42,12,54,0.5,0.583333333,0.518518519
26,18,8,2010,540,42,12,54,0.428571429,0.666666667,0.481481481
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
32,24,8,2010,580,42,12,54,0.571428571,0.666666667,0.592592593
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
30,21,9,2010,570,42,12,54,0.5,0.75,0.555555556
31,24,7,2010,570,42,12,54,0.571428571,0.583333333,0.574074074
31,23,8,2010,570,42,12,54,0.547619048,0.666666667,0.574074074
25,18,7,2010,530,42,12,54,0.428571429,0.583333333,0.462962963
30,22,8,2010,570,42,12,54,0.523809524,0.666666667,0.555555556
33,23,10,2010,590,42,12,54,0.547619048,0.833333333,0.611111111
30,22,8,2010,570,42,12,54,0.523809524,0.666666667,0.555555556
30,24,6,2010,570,42,12,54,0.571428571,0.5,0.555555556
31,24,7,2010,570,42,12,54,0.571428571,0.583333333,0.574074074
35,25,10,2010,610,42,12,54,0.595238095,0.833333333,0.648148148
26,20,6,2010,540,42,12,54,0.476190476,0.5,0.481481481
30,23,7,2010,570,42,12,54,0.547619048,0.583333333,0.555555556
27,21,6,2010,550,42,12,54,0.5,0.5,0.5
26,17,9,2010,540,42,12,54,0.404761905,0.75,0.481481481
31,22,9,2010,570,42,12,54,0.523809524,0.75,0.574074074
30,23,7,2011,570,42,12,54,0.547619048,0.583333333,0.555555556
30,23,7,2011,570,42,12,54,0.547619048,0.583333333,0.555555556
32,26,6,2011,580,42,12,54,0.619047619,0.5,0.592592593
26,21,5,2011,540,42,12,54,0.5,0.416666667,0.481481481
31,24,7,2011,570,42,12,54,0.571428571,0.583333333,0.574074074
29,22,7,2011,570,42,12,54,0.523809524,0.583333333,0.537037037
28,22,6,2011,560,42,12,54,0.523809524,0.5,0.518518519
24,18,6,2011,520,42,12,54,0.428571429,0.5,0.444444444
39,31,8,2011,640,42,12,54,0.738095238,0.666666667,0.722222222
30,23,7,2011,570,42,12,54,0.547619048,0.583333333,0.555555556
31,24,7,2011,570,42,12,54,0.571428571,0.583333333,0.574074074
29,23,6,2011,570,42,12,54,0.547619048,0.5,0.537037037
31,24,7,2011,570,42,12,54,0.571428571,0.583333333,0.574074074
31,23,8,2011,570,42,12,54,0.547619048,0.666666667,0.574074074
30,22,8,2011,570,42,12,54,0.523809524,0.666666667,0.555555556
26,20,6,2011,540,42,12,54,0.476190476,0.5,0.481481481
28,22,6,2011,560,42,12,54,0.523809524,0.5,0.518518519
28,22,6,2011,560,42,12,54,0.523809524,0.5,0.518518519
27,19,8,2011,550,42,12,54,0.452380952,0.666666667,0.5
30,24,6,2011,570,42,12,54,0.571428571,0.5,0.555555556
30,24,6,2011,570,42,12,54,0.571428571,0.5,0.555555556
29,22,7,2011,570,42,12,54,0.523809524,0.583333333,0.537037037
30,23,7,2011,570,42,12,54,0.547619048,0.583333333,0.555555556
35,28,7,2011,610,42,12,54,0.666666667,0.583333333,0.648148148
29,21,8,2011,570,42,12,54,0.5,0.666666667,0.537037037
29,24,5,2011,570,42,12,54,0.571428571,0.416666667,0.537037037
24,17,7,2011,520,42,12,54,0.404761905,0.583333333,0.444444444
32,22,10,2011,580,42,12,54,0.523809524,0.833333333,0.592592593
27,19,8,2011,550,42,12,54,0.452380952,0.666666667,0.5
35,28,7,2011,610,42,12,54,0.666666667,0.583333333,0.648148148
33,24,9,2011,590,42,12,54,0.571428571,0.75,0.611111111
34,27,7,2011,600,42,12,54,0.642857143,0.583333333,0.62962963
28,21,7,2011,560,42,12,54,0.5,0.583333333,0.518518519
33,25,8,2011,590,42,12,54,0.595238095,0.666666667,0.611111111
29,22,7,2011,570,42,12,54,0.523809524,0.583333333,0.537037037
27,21,6,2011,550,42,12,54,0.5,0.5,0.5
37,29,8,2011,620,42,12,54,0.69047619,0.666666667,0.685185185
31,24,7,2011,570,42,12,54,0.571428571,0.583333333,0.574074074
30,24,6,2011,570,42,12,54,0.571428571,0.5,0.555555556
30,22,8,2011,570,42,12,54,0.523809524,0.666666667,0.555555556
30,23,7,2011,570,42,12,54,0.547619048,0.583333333,0.555555556
28,22,6,2011,560,42,12,54,0.523809524,0.5,0.518518519
34,26,8,2011,600,42,12,54,0.619047619,0.666666667,0.62962963
29,23,6,2011,570,42,12,54,0.547619048,0.5,0.537037037
29,22,7,2011,570,42,12,54,0.523809524,0.583333333,0.537037037
29,22,7,2011,570,42,12,54,0.523809524,0.583333333,0.537037037
33,26,7,2011,590,42,12,54,0.619047619,0.583333333,0.611111111
33,26,7,2011,590,42,12,54,0.619047619,0.583333333,0.611111111
32,25,7,2011,580,42,12,54,0.595238095,0.583333333,0.592592593
33,27,6,2011,590,42,12,54,0.642857143,0.5,0.611111111
29,23,6,2012,570,42,12,54,0.547619048,0.5,0.537037037
29,23,6,2012,570,42,12,54,0.547619048,0.5,0.537037037
25,19,6,2012,530,42,12,54,0.452380952,0.5,0.462962963
27,20,7,2012,550,42,12,54,0.476190476,0.583333333,0.5
23,16,7,2012,510,42,12,54,0.380952381,0.583333333,0.425925926
27,20,7,2012,550,42,12,54,0.476190476,0.583333333,0.5
26,19,7,2012,540,42,12,54,0.452380952,0.583333333,0.481481481
18,12,6,2012,480,42,12,54,0.285714286,0.5,0.333333333
26,20,6,2012,540,42,12,54,0.476190476,0.5,0.481481481
29,23,6,2012,570,42,12,54,0.547619048,0.5,0.537037037
29,22,7,2012,570,42,12,54,0.523809524,0.583333333,0.537037037
28,21,7,2012,560,42,12,54,0.5,0.583333333,0.518518519
28,19,9,2012,560,42,12,54,0.452380952,0.75,0.518518519
27,22,5,2012,550,42,12,54,0.523809524,0.416666667,0.5
28,20,8,2012,560,42,12,54,0.476190476,0.666666667,0.518518519
29,23,6,2012,570,42,12,54,0.547619048,0.5,0.537037037
33,27,6,2012,590,42,12,54,0.642857143,0.5,0.611111111
20,16,4,2012,500,42,12,54,0.380952381,0.333333333,0.37037037
25,20,5,2012,530,42,12,54,0.476190476,0.416666667,0.462962963
25,17,8,2012,530,42,12,54,0.404761905,0.666666667,0.462962963
33,26,7,2012,590,42,12,54,0.619047619,0.583333333,0.611111111
29,22,7,2012,570,42,12,54,0.523809524,0.583333333,0.537037037
29,22,7,2012,570,42,12,54,0.523809524,0.583333333,0.537037037
26,21,5,2012,540,42,12,54,0.5,0.416666667,0.481481481
23,17,6,2012,510,42,12,54,0.404761905,0.5,0.425925926
27,22,5,2012,550,42,12,54,0.523809524,0.416666667,0.5
27,20,7,2012,550,42,12,54,0.476190476,0.583333333,0.5
24,21,3,2012,520,42,12,54,0.5,0.25,0.444444444
28,22,6,2012,560,42,12,54,0.523809524,0.5,0.518518519
28,21,7,2012,560,42,12,54,0.5,0.583333333,0.518518519
26,20,6,2012,540,42,12,54,0.476190476,0.5,0.481481481
29,24,5,2012,570,42,12,54,0.571428571,0.416666667,0.537037037
26,21,5,2012,540,42,12,54,0.5,0.416666667,0.481481481
30,23,7,2012,570,42,12,54,0.547619048,0.583333333,0.555555556
30,23,7,2012,570,42,12,54,0.547619048,0.583333333,0.555555556
28,22,6,2012,560,42,12,54,0.523809524,0.5,0.518518519
24,19,5,2012,520,42,12,54,0.452380952,0.416666667,0.444444444
25,19,6,2012,530,42,12,54,0.452380952,0.5,0.462962963
24,21,3,2012,520,42,12,54,0.5,0.25,0.444444444
31,25,6,2012,570,42,12,54,0.595238095,0.5,0.574074074
25,18,7,2012,530,42,12,54,0.428571429,0.583333333,0.462962963
27,21,6,2012,550,42,12,54,0.5,0.5,0.5
29,23,6,2012,570,42,12,54,0.547619048,0.5,0.537037037
24,20,4,2012,520,42,12,54,0.476190476,0.333333333,0.444444444
29,24,5,2012,570,42,12,54,0.571428571,0.416666667,0.537037037
23,19,4,2012,510,42,12,54,0.452380952,0.333333333,0.425925926
24,17,7,2012,520,42,12,54,0.404761905,0.583333333,0.444444444
26,21,5,2012,540,42,12,54,0.5,0.416666667,0.481481481
25,20,5,2012,530,42,12,54,0.476190476,0.416666667,0.462962963
25,19,6,2012,530,42,12,54,0.452380952,0.5,0.462962963
25,19,6,2013,530,42,12,54,0.452380952,0.5,0.462962963
31,26,5,2013,570,42,12,54,0.619047619,0.416666667,0.574074074
27,22,5,2013,550,42,12,54,0.523809524,0.416666667,0.5
32,27,5,2013,580,42,12,54,0.642857143,0.416666667,0.592592593
26,22,4,2013,540,42,12,54,0.523809524,0.333333333,0.481481481
27,20,7,2013,550,42,12,54,0.476190476,0.583333333,0.5
29,25,4,2013,570,42,12,54,0.595238095,0.333333333,0.537037037
30,25,5,2013,570,42,12,54,0.595238095,0.416666667,0.555555556
24,20,4,2013,520,42,12,54,0.476190476,0.333333333,0.444444444
24,20,4,2013,520,42,12,54,0.476190476,0.333333333,0.444444444
28,22,6,2013,560,42,12,54,0.523809524,0.5,0.518518519
27,23,4,2013,550,42,12,54,0.547619048,0.333333333,0.5
32,26,6,2013,580,42,12,54,0.619047619,0.5,0.592592593
30,23,7,2013,570,42,12,54,0.547619048,0.583333333,0.555555556
25,20,5,2013,530,42,12,54,0.476190476,0.416666667,0.462962963
25,20,5,2013,530,42,12,54,0.476190476,0.416666667,0.462962963
27,21,6,2013,550,42,12,54,0.5,0.5,0.5
30,23,7,2013,570,42,12,54,0.547619048,0.583333333,0.555555556
33,28,5,2013,590,42,12,54,0.666666667,0.416666667,0.611111111
27,22,5,2013,550,42,12,54,0.523809524,0.416666667,0.5
